Audio File,Title,Artists,Note_or_raw
1_audio.mp3,A COLD PLAY,The Kid LAROI,"{""cost_time"":0.38100004196167,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":97140,""db_end_time_offset_ms"":108600,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":108600,""acrid"":""5f4bc58e5d8673e1b10c8d42cb74568c"",""external_ids"":{""upc"":""0196873582498"",""isrc"":""USSM12503891""},""title"":""A COLD PLAY"","""
2_audio.mp3,황혼의 문턱,왁스,"{""cost_time"":0.97099995613098,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":44640,""db_end_time_offset_ms"":55220,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":10580,""release_date"":""2003-09-01"",""acrid"":""887a340f891739bd7047a0e4190b11f5"",""external_ids"":{""upc"":""4548341000229"",""isrc"":""KRA070300230""},""external_metadata"":"
3_audio.mp3,동그라미,최유리,"{""cost_time"":0.61299991607666,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":167200,""db_end_time_offset_ms"":178580,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":178580,""duration_ms"":294340,""external_ids"":{""upc"":""8804775140334"",""isrc"":""KRA382000474""},""external_metadata"":{""deezer"":{""track"":{""id"""
4_audio.mp3,Into Bloom,N.Flying,"{""result_type"":0,""cost_time"":1.6080000400543,""status"":{""code"":0,""msg"":""Success"",""version"":""1.0""},""metadata"":{""timestamp_utc"":""2026-04-05 06:11:15"",""music"":[{""genres"":[{""name"":""K-POP""}],""score"":40,""label"":""FNC ENTERTAINMENT"",""external_metadata"":{""musicbrainz"":{""track"":{""id"":""fb880e74-fae1-4e75-82f5-9ac018819f20""}},""deezer"":{""album"":{""name"":""TURBULENCE"",""id"":""263703492""},""track"":{""id"":""1513792662"","""
5_audio.mp3,West Coast,"YULTRON, Jay Park","{""cost_time"":1.8010001182556,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":46360,""db_end_time_offset_ms"":57000,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":10640,""play_offset_ms"":57560,""duration_ms"":175000,""external_ids"":{""upc"":""0808391060661"",""isrc"":""KRF151900053""},""external_metadata"":{""deezer"":{""track"":{""id"":""71"
6_audio.mp3,,,No result
Billie Eilish_idontwannabeyouanymore_audio.mp3,,,No result
Billie Eilish_wish you were gay_audio.mp3,,,No result
BTS_SWIM Live_audio.mp3,SWIM,BTS,"{""cost_time"":0.37200021743774,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":0,""db_end_time_offset_ms"":7180,""sample_begin_time_offset_ms"":4540,""sample_end_time_offset_ms"":11720,""play_offset_ms"":3500,""acrid"":""6303fce9db7c847a2f92596737f6d7f1"",""external_ids"":{""upc"":""00199957596251"",""isrc"":""USA2P2600449""},""title"":""SWIM"",""album"":{""na"
GD_Heartbreaker_audio.mp3,H.E.A.R.T ,G-Dragon (BIGBANG),"{""cost_time"":0.34999990463257,""result_type"":0,""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""metadata"":{""music"":[{""db_begin_time_offset_ms"":14740,""db_end_time_offset_ms"":26460,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11780,""play_offset_ms"":26440,""acrid"":""71d6fcc2e1eb398c55ca2a7e75625ffb"",""external_ids"":{},""external_metadata"":{},""result_from"":3,""title"":""H.E.A.R.T "",""album"":"
